Ensembl Gene ID,Up/Down Regulated,Adjusted Pv-alue,Symbol,Description
AT5G37260,Down,5.00E-12, RVE2,Homeodomain-like superfamily protein 
AT5G57123,Up,5.23E-12, AT5G57123,Uncharacterized protein 
AT3G10500,Up,5.37E-12, NAC053,NAC domain containing protein 53 
AT3G53600,Up,5.37E-12, AT3G53600,C2H2-type zinc finger family protein 
AT2G41730,Up,5.53E-12, AT2G41730,Calcium-binding site protein 
AT1G14480,Up,6.36E-12, AT1G14480,Ankyrin repeat family protein 
AT5G66400,Up,7.08E-12, RAB18,Dehydrin family protein 
AT3G21305,Up,7.26E-12, AT3G21305,Uncharacterized protein 
AT5G46080,Up,7.58E-12, AT5G46080,Protein kinase superfamily protein 
AT5G19530,Down,7.81E-12, ACL5,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT5G02290,Up,7.82E-12, NAK,Protein kinase superfamily protein 
AT2G26650,Up,8.70E-12, KT1,K+ transporter 1 
AT3G06490,Up,1.02E-11, MYB108,Myb domain protein 108 
AT4G16260,Up,1.06E-11, AT4G16260,Glycosyl hydrolase superfamily protein 
AT5G44990,Up,1.08E-11, AT5G44990,Glutathione S-transferase family protein 
AT1G71530,Up,1.13E-11, AT1G71530,Protein kinase superfamily protein 
AT3G25882,Up,1.13E-11, NIMIN-2,NIM1-interacting 2 
AT5G47740,Up,1.13E-11, AT5G47740,Adenine nucleotide alpha hydrolases-like superfamily protein 
AT5G54450,Up,1.25E-11, AT5G54450,
AT3G61190,Up,1.30E-11, BAP1,BON association protein 1 
AT1G67920,Up,1.34E-11, AT1G67920,Uncharacterized protein 
AT1G50440,Up,1.38E-11, AT1G50440,RING/FYVE/PHD zinc finger superfamily protein 
AT4G28390,Up,1.42E-11, AAC3,ADP/ATP carrier 3 
AT1G24150,Up,1.49E-11, FH4,Formin homologue 4 
AT1G51950,Up,1.49E-11, IAA18,Indole-3-acetic acid inducible 18 
AT3G19184,Up,1.67E-11, AT3G19184,AP2/B3-like transcriptional factor family protein 
AT1G68840,Up,1.76E-11, RAV2,Uncharacterized protein 
AT3G46930,Up,1.76E-11, AT3G46930,Protein kinase superfamily protein 
AT1G76550,Up,1.78E-11, AT1G76550,Phosphofructokinase family protein 
AT4G04540,Up,1.80E-11, CRK39,Cysteine-rich RLK (RECEPTOR-like protein kinase) 39 
AT1G43910,Up,1.87E-11, AT1G43910,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT2G03505,Up,1.89E-11, AT2G03505,Carbohydrate-binding X8 domain superfamily protein 
AT4G28350,Up,1.98E-11, AT4G28350,Concanavalin A-like lectin protein kinase family protein 
AT4G37900,Up,2.04E-11, AT4G37900,
AT4G15530,Up,2.07E-11, PPDK,Pyruvate orthophosphate dikinase 
AT2G21530,Down,2.18E-11, AT2G21530,SMAD/FHA domain-containing protein 
AT2G46270,Up,2.27E-11, GBF3,G-box binding factor 3 
AT5G09330,Up,2.28E-11, NAC082,NAC domain containing protein 82 
AT2G05940,Up,2.28E-11, RIPK,Protein kinase superfamily protein 
AT2G35710,Up,2.54E-11, PGSIP7,Nucleotide-diphospho-sugar transferases superfamily protein 
AT5G59730,Up,2.64E-11, EXO70H7,Exocyst subunit exo70 family protein H7 
AT4G19520,Up,3.02E-11, AT4G19520,Disease resistance protein (TIR-NBS-LRR class) family 
AT1G13340,Up,3.40E-11, AT1G13340,Regulator of Vps4 activity in the MVB pathway protein 
AT4G22530,Up,3.43E-11, AT4G22530,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT2G43150,Up,3.43E-11, AT2G43150,Proline-rich extensin-like family protein 
AT3G29034,Up,3.60E-11, AT3G29034,Uncharacterized protein 
AT1G20310,Up,3.64E-11, AT1G20310,Syringolide-induced protein 
AT2G46400,Up,3.77E-11, WRKY46,WRKY DNA-binding protein 46 
AT1G32928,Up,3.82E-11, AT1G32928,Avr9/Cf-9 rapidly elicited protein 
AT5G38710,Up,4.09E-11, AT5G38710,Methylenetetrahydrofolate reductase family protein 
AT1G29690,Up,4.22E-11, CAD1,MAC/Perforin domain-containing protein 
AT2G15760,Up,4.38E-11, AT2G15760,Calmodulin-binding protein (DUF1645) 
AT5G24590,Up,4.47E-11, TIP,TCV-interacting protein 
AT1G21240,Up,4.50E-11, WAK3,Wall associated kinase 3 
AT2G40113,Up,4.56E-11, AT2G40113,Pollen Ole e 1 allergen and extensin family protein 
AT5G06560,Up,4.79E-11, AT5G06560,"Myosin-binding protein (Protein of unknown function, DUF593) "
AT5G38310,Up,5.00E-11, AT5G38310,Uncharacterized protein 
AT1G18570,Up,5.05E-11, MYB51,Myb domain protein 51 
AT2G41180,Up,5.14E-11, SIB2,VQ motif-containing protein 
AT2G18690,Up,5.88E-11, AT2G18690,Uncharacterized protein 
AT5G12480,Up,5.90E-11, CPK7,Calmodulin-domain protein kinase 7 
AT2G44840,Up,6.75E-11, ERF13,Ethylene-responsive element binding factor 13 
AT5G60270,Up,6.95E-11, AT5G60270,Concanavalin A-like lectin protein kinase family protein 
AT4G02410,Up,7.19E-11, AT4G02410,Concanavalin A-like lectin protein kinase family protein 
AT3G05390,Up,7.34E-11, AT3G05390,S-adenosyl-L-methionine-dependent methyltransferase 
AT4G38830,Up,7.45E-11, CRK26,Cysteine-rich RLK (RECEPTOR-like protein kinase) 26 
AT5G24530,Up,7.83E-11, DMR6,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein 
AT3G59660,Up,8.69E-11, AT3G59660,C2 domain-containing protein / GRAM domain-containing protein 
AT2G24500,Up,9.05E-11, FZF,Zinc finger protein 622 
AT4G14220,Up,9.37E-11, RHF1A,RING-H2 group F1A 
AT5G23520,Up,9.69E-11, AT5G23520,Smr (Small MutS Related) domain-containing protein 
AT2G42065,Up,9.82E-11, AT2G42065,DnaJ domain protein 
AT2G46310,Up,1.00E-10, CRF5,Cytokinin response factor 5 
AT5G13220,Up,1.12E-10, JAZ10,Jasmonate-zim-domain protein 10 
AT3G02840,Up,1.27E-10, AT3G02840,ARM repeat superfamily protein 
AT2G44065,Up,1.37E-10, AT2G44065,Ribosomal protein L2 family 
AT1G48300,Up,1.48E-10, DGAT3,Diacylglycerol acyltransferase 
AT2G30766,Up,1.52E-10, AT2G30766,Uncharacterized protein 
AT3G59690,Up,1.62E-10, IQD13,IQ-domain 13 
AT3G23220,Up,1.84E-10, ESE1,Integrase-type DNA-binding superfamily protein 
AT1G30270,Up,1.86E-10, CIPK23,CBL-interacting protein kinase 23 
AT5G46470,Up,1.87E-10, RPS6,Disease resistance protein (TIR-NBS-LRR class) family 
AT3G26090,Up,1.88E-10, RGS1,REGULATOR OF G-PROTEIN SIGNALING 1 
AT5G57480,Up,1.91E-10, AT5G57480,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT2G11520,Up,2.03E-10, CRCK3,Calmodulin-binding receptor-like cytoplasmic kinase 3 
AT3G14440,Up,2.17E-10, NCED3,Nine-cis-epoxycarotenoid dioxygenase 3 
AT5G02810,Up,2.22E-10, PRR7,Pseudo-response regulator 7 
AT3G28610,Up,2.29E-10, AT3G28610,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT3G06590,Down,2.36E-10, AT3G06590,Basic helix-loop-helix (bHLH) DNA-binding superfamily protein 
AT1G77655,Up,2.38E-10, AT1G77655,Uncharacterized protein 
AT4G11370,Up,2.40E-10, RHA1A,RING-H2 finger A1A 
AT1G57610,Up,2.46E-10, AT1G57610,Calcium uniporter (DUF607) 
AT4G18197,Up,2.82E-10, PUP7,Purine permease 7 
AT2G18685,Up,2.91E-10, AT2G18685,Uncharacterized protein 
AT5G50820,Down,2.99E-10, NAC097,NAC domain containing protein 97 
AT5G64905,Up,3.32E-10, PROPEP3,Elicitor peptide 3 
AT1G17147,Up,3.34E-10, AT1G17147,VQ motif-containing protein 
AT3G23120,Up,3.37E-10, RLP38,Receptor like protein 38 
AT5G52810,Up,3.40E-10, AT5G52810,NAD(P)-binding Rossmann-fold superfamily protein 
AT1G19510,Down,3.44E-10, RL5,RAD-like 5 
AT2G23600,Down,3.44E-10, ACL,Acetone-cyanohydrin lyase 
AT1G14060,Up,3.61E-10, AT1G14060,GCK domain-containing protein 
AT3G54530,Up,3.61E-10, AT3G54530,Uncharacterized protein 
AT5G62570,Up,3.65E-10, AT5G62570,Calmodulin binding protein-like protein 
AT5G10380,Up,3.66E-10, RING1,RING/U-box superfamily protein 
AT1G73810,Up,3.66E-10, AT1G73810,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein "
AT1G79680,Up,3.93E-10, WAKL10,WALL ASSOCIATED KINASE (WAK)-LIKE 10 
AT3G15356,Up,4.02E-10, AT3G15356,Legume lectin family protein 
AT5G59510,Up,4.03E-10, RTFL5,ROTUNDIFOLIA like 5 
AT2G33810,Down,4.03E-10, SPL3,Squamosa promoter binding protein-like 3 
AT5G17170,Down,4.10E-10, ENH1,Rubredoxin family protein 
AT1G30320,Up,4.11E-10, AT1G30320,Remorin family protein 
AT1G75945,Up,4.51E-10, AT1G75945,Uncharacterized protein 
AT2G13810,Up,4.64E-10, ALD1,AGD2-like defense response protein 1 
AT1G05880,Up,4.74E-10, ARI12,RING/U-box superfamily protein 
AT3G18250,Up,5.34E-10, AT3G18250,Putative membrane lipoprotein 
AT4G04220,Up,5.49E-10, RLP46,Receptor like protein 46 
AT5G14930,Up,5.76E-10, SAG101,Senescence-associated 101 
AT4G01750,Up,6.00E-10, RGXT2,Rhamnogalacturonan xylosyltransferase 2 
AT3G08760,Up,6.35E-10, ATSIK,Protein kinase superfamily protein 
AT1G32960,Up,6.44E-10, SBT3.3,Subtilase family protein 
AT2G47650,Up,6.58E-10, UXS4,UDP-xylose synthase 4 
AT5G66480,Up,7.27E-10, AT5G66480,Bacteriophage N4 adsorption B protein 
AT4G08180,Up,7.78E-10, ORP1C,OSBP(oxysterol binding protein)-related protein 1C 
AT4G15150,Up,7.84E-10, AT4G15150,Glycine-rich protein 
AT1G10580,Up,7.87E-10, AT1G10580,Transducin/WD40 repeat-like superfamily protein 
AT3G15500,Up,8.05E-10, NAC3,NAC domain containing protein 3 
AT1G10585,Up,8.30E-10, AT1G10585,Basic helix-loop-helix (bHLH) DNA-binding superfamily protein 
AT1G67810,Up,8.50E-10, SUFE2,Sulfur E2 
AT3G25770,Up,8.66E-10, AOC2,Allene oxide cyclase 2 
AT5G51180,Up,9.73E-10, AT5G51180,Alpha/beta-Hydrolases superfamily protein 
AT5G13810,Up,9.86E-10, AT5G13810,Glutaredoxin family protein 
AT1G23840,Up,1.01E-09, AT1G23840,Uncharacterized protein 
AT1G15530,Up,1.02E-09, AT1G15530,Concanavalin A-like lectin protein kinase family protein 
AT1G35910,Up,1.03E-09, TPPD,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein 
AT2G23770,Up,1.03E-09, LYK4,Protein kinase family protein / peptidoglycan-binding LysM domain-containing protein 
AT4G03210,Down,1.12E-09, XTH9,Xyloglucan endotransglucosylase/hydrolase 9 
AT5G64260,Up,1.12E-09, EXL2,EXORDIUM like 2 
AT1G77840,Up,1.12E-09, AT1G77840,Translation initiation factor IF2/IF5 
AT4G33540,Up,1.13E-09, AT4G33540,Metallo-beta-lactamase family protein 
AT4G34210,Up,1.13E-09, SK11,SKP1-like 11 
AT1G26730,Up,1.15E-09, AT1G26730,EXS (ERD1/XPR1/SYG1) family protein 
AT5G62070,Up,1.20E-09, IQD23,IQ-domain 23 
AT5G05735,Up,1.20E-09, AT5G05735,Uncharacterized protein 
AT4G37030,Up,1.21E-09, AT4G37030,Uncharacterized protein 
AT5G46295,Up,1.23E-09, AT5G46295,Uncharacterized protein 
AT5G48540,Up,1.23E-09, AT5G48540,Receptor-like protein kinase-related family protein 
AT3G63110,Down,1.25E-09, IPT3,Isopentenyltransferase 3 
AT3G07780,Up,1.28E-09, OBE1,Potyvirus VPg interacting protein (DUF1423) 
AT3G23620,Up,1.36E-09, AT3G23620,Ribosomal RNA processing Brix domain protein 
AT4G36950,Up,1.36E-09, MAPKKK21,Mitogen-activated protein kinase kinase kinase 21 
AT3G01840,Up,1.39E-09, LYK2,Protein kinase superfamily protein 
AT1G16420,Up,1.40E-09, MC8,Metacaspase 8 
AT2G46650,Up,1.43E-09, CB5-C,Cytochrome B5 isoform C 
AT4G23010,Up,1.48E-09, UTR2,UDP-galactose transporter 2 
AT1G60500,Up,1.53E-09, DRP4C,Dynamin related protein 4C 
AT2G40095,Up,1.54E-09, AT2G40095,Alpha/beta hydrolase related protein 
AT1G32910,Up,1.55E-09, AT1G32910,HXXXD-type acyl-transferase family protein 
AT2G28400,Up,1.56E-09, AT2G28400,"Senescence regulator (Protein of unknown function, DUF584) "
AT3G26500,Up,1.58E-09, PIRL2,Plant intracellular ras group-related LRR 2 
AT2G17040,Up,1.70E-09, NAC036,NAC domain containing protein 36 
AT2G37110,Up,1.74E-09, AT2G37110,PLAC8 family protein 
AT4G23570,Up,1.79E-09, SGT1A,Phosphatase-like protein 
AT3G14620,Up,1.82E-09, CYP72A8,"Cytochrome P450, family 72, subfamily A, polypeptide 8 "
AT3G26820,Up,1.84E-09, AT3G26820,Esterase/lipase/thioesterase family protein 
AT1G77230,Up,1.98E-09, AT1G77230,Tetratricopeptide repeat (TPR)-like superfamily protein 
AT2G20562,Up,2.01E-09, AT2G20562,Taximin 
AT3G26980,Up,2.04E-09, MUB4,Membrane-anchored ubiquitin-fold protein 4 
AT3G14570,Down,2.12E-09, GSL04,Glucan synthase-like 4 
AT2G29440,Up,2.13E-09, GSTU6,Glutathione S-transferase tau 6 
AT3G25655,Up,2.13E-09, IDL1,Inflorescence deficient in abscission (IDA)-like 1 
AT5G53160,Down,2.14E-09, RCAR3,Regulatory components of ABA receptor 3 
AT3G46080,Up,2.29E-09, AT3G46080,C2H2-type zinc finger family protein 
AT2G44490,Up,2.33E-09, PEN2,Glycosyl hydrolase superfamily protein 
AT5G22690,Up,2.35E-09, AT5G22690,Disease resistance protein (TIR-NBS-LRR class) family 
AT3G47550,Up,2.46E-09, AT3G47550,RING/FYVE/PHD zinc finger superfamily protein 
AT5G04720,Up,2.49E-09, ADR1-L2,ADR1-like 2 
AT5G46780,Up,2.52E-09, AT5G46780,VQ motif-containing protein 
AT1G72540,Up,2.67E-09, AT1G72540,Protein kinase superfamily protein 
AT3G05350,Up,2.70E-09, AT3G05350,Metallopeptidase M24 family protein 
AT5G66850,Up,2.75E-09, MAPKKK5,Mitogen-activated protein kinase kinase kinase 5 
AT4G25340,Up,2.76E-09, FKBP53,FK506 BINDING PROTEIN 53 
AT3G25240,Up,2.77E-09, AT3G25240,"Sulfate/thiosulfate import ATP-binding protein, putative (DUF506) "
AT2G47990,Up,2.78E-09, SWA1,Transducin family protein / WD-40 repeat family protein 
AT3G10300,Up,2.88E-09, AT3G10300,Calcium-binding EF-hand family protein 
AT5G64790,Up,3.13E-09, AT5G64790,O-Glycosyl hydrolases family 17 protein 
AT1G67970,Up,3.18E-09, HSFA8,Heat shock transcription factor A8 
AT3G26020,Up,3.19E-09, AT3G26020,Protein phosphatase 2A regulatory B subunit family protein 
AT5G16170,Up,3.33E-09, AT5G16170,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein "
AT3G58150,Up,3.42E-09, AT3G58150,Optic atrophy 3 protein (OPA3) 
AT1G13520,Up,3.49E-09, AT1G13520,
AT1G18900,Up,3.59E-09, AT1G18900,Pentatricopeptide repeat (PPR) superfamily protein 
AT2G25735,Up,3.59E-09, AT2G25735,Uncharacterized protein 
AT1G73830,Down,3.61E-09, BEE3,BR enhanced expression 3 
AT5G47120,Up,3.65E-09, BI1,BAX inhibitor 1 
AT3G23240,Up,3.82E-09, ERF1,Ethylene response factor 1 
AT1G78020,Down,4.39E-09, AT1G78020,"Senescence-associated family protein, putative (DUF581) "
AT4G40020,Up,4.40E-09, AT4G40020,Myosin heavy chain-related protein 
AT2G30020,Up,4.61E-09, AT2G30020,Protein phosphatase 2C family protein 
AT5G56985,Up,4.74E-09, AT5G56985,Uncharacterized protein 
AT5G41750,Up,4.94E-09, AT5G41750,Disease resistance protein (TIR-NBS-LRR class) family 
AT5G65300,Up,4.96E-09, AT5G65300,Uncharacterized protein 
AT3G08640,Up,5.33E-09, AT3G08640,Alphavirus core family protein (DUF3411) 
AT3G60120,Up,5.77E-09, BGLU27,Beta glucosidase 27 
AT4G18195,Up,5.96E-09, PUP8,Purine permease 8 
AT3G09980,Down,6.08E-09, AT3G09980,Ankyrin repeat 30A-like protein (DUF662) 
AT1G72760,Up,6.30E-09, AT1G72760,Protein kinase superfamily protein 
AT5G53830,Up,6.30E-09, AT5G53830,VQ motif-containing protein 
AT5G22920,Down,6.30E-09, AT5G22920,CHY-type/CTCHY-type/RING-type Zinc finger protein 
AT1G76360,Up,6.37E-09, AT1G76360,Protein kinase superfamily protein 
AT3G59080,Up,6.64E-09, AT3G59080,Eukaryotic aspartyl protease family protein 
AT2G19130,Up,6.72E-09, AT2G19130,S-locus lectin protein kinase family protein 
AT1G07000,Up,6.86E-09, EXO70B2,Exocyst subunit exo70 family protein B2 
AT3G62550,Down,6.90E-09, AT3G62550,Adenine nucleotide alpha hydrolases-like superfamily protein 
AT4G05440,Up,6.92E-09, EDA35,Temperature sensing protein-like protein 
AT2G38340,Up,7.04E-09, DREB19,Integrase-type DNA-binding superfamily protein 
AT5G12340,Up,7.71E-09, AT5G12340,DUF4228 domain protein 
AT5G46410,Up,7.90E-09, SSP4,SCP1-like small phosphatase 4 
AT2G02320,Up,8.05E-09, PP2-B7,Phloem protein 2-B7 
AT3G17700,Up,8.15E-09, CNBT1,Cyclic nucleotide-binding transporter 1 
AT4G08555,Up,9.77E-09, AT4G08555,Uncharacterized protein 
AT4G23030,Up,1.01E-08, AT4G23030,MATE efflux family protein 
AT1G66700,Up,1.01E-08, PXMT1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G80450,Up,1.02E-08, AT1G80450,VQ motif-containing protein 
AT1G66600,Up,1.05E-08, ABO3,ABA overly sensitive mutant 3 
AT4G25810,Up,1.09E-08, XTR6,Xyloglucan endotransglycosylase 6 
AT4G20110,Up,1.11E-08, VSR7,VACUOLAR SORTING RECEPTOR 7 
AT3G55430,Up,1.11E-08, AT3G55430,O-Glycosyl hydrolases family 17 protein 
AT5G07100,Up,1.16E-08, WRKY26,WRKY DNA-binding protein 26 
AT2G41640,Up,1.20E-08, AT2G41640,Glycosyltransferase family 61 protein 
AT5G64810,Up,1.22E-08, WRKY51,WRKY DNA-binding protein 51 
AT1G15800,Up,1.24E-08, AT1G15800,Uncharacterized protein 
AT5G01550,Up,1.29E-08, LECRKA4.2,Lectin receptor kinase a4.1 
AT3G59700,Up,1.30E-08, HLECRK,Lectin-receptor kinase 
AT2G20950,Up,1.32E-08, AT2G20950,Phospholipase-like protein (PEARLI 4) family protein 
AT3G01820,Up,1.39E-08, AT3G01820,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT3G51430,Up,1.56E-08, YLS2,Calcium-dependent phosphotriesterase superfamily protein 
AT1G59860,Up,1.57E-08, AT1G59860,HSP20-like chaperones superfamily protein 
AT4G24380,Up,1.58E-08, AT4G24380,Dihydrofolate reductase 
AT5G22680,Up,1.59E-08, AT5G22680,F-box protein 
AT5G20630,Down,1.59E-08, GER3,Germin 3 
AT5G23050,Down,1.61E-08, AAE17,Acyl-activating enzyme 17 
AT1G27360,Up,1.61E-08, SPL11,Squamosa promoter-like 11 
AT5G05190,Up,1.73E-08, AT5G05190,
AT5G53880,Down,1.81E-08, AT5G53880,Uncharacterized protein 
AT5G47230,Up,1.85E-08, ERF5,Ethylene responsive element binding factor 5 
AT5G56050,Up,1.89E-08, AT5G56050,Late embryosis abundant (LEA) hydroxyproline-rich glycoprotein family protein 
AT1G15520,Up,1.92E-08, ABCG40,Pleiotropic drug resistance 12 
AT4G11521,Up,1.92E-08, AT4G11521,Receptor-like protein kinase-related family protein 
AT3G55960,Up,1.94E-08, AT3G55960,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein 
AT1G57650,Up,1.97E-08, AT1G57650,ATP binding protein 
AT1G11380,Down,2.08E-08, AT1G11380,PLAC8 family protein 
AT2G38290,Up,2.11E-08, AMT2,Ammonium transporter 2 
AT4G19880,Up,2.12E-08, AT4G19880,Glutathione S-transferase family protein 
AT5G67630,Up,2.15E-08, AT5G67630,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT4G24920,Up,2.18E-08, AT4G24920,SecE/sec61-gamma protein transport protein 
AT4G39270,Up,2.21E-08, AT4G39270,Leucine-rich repeat protein kinase family protein 
AT1G32940,Up,2.33E-08, SBT3.5,Subtilase family protein 
AT2G36580,Up,2.37E-08, AT2G36580,Pyruvate kinase family protein 
AT1G71100,Up,2.41E-08, RSW10,"Ribose 5-phosphate isomerase, type A protein "
AT2G31880,Up,2.56E-08, SOBIR1,Leucine-rich repeat protein kinase family protein 
AT3G48890,Up,2.63E-08, MAPR3,Membrane-associated progesterone binding protein 3 
AT3G11020,Up,2.63E-08, DREB2B,DRE/CRT-binding protein 2B 
AT1G23090,Down,2.75E-08, AST91,Sulfate transporter 91 
AT5G03030,Up,2.76E-08, AT5G03030,Chaperone DnaJ-domain superfamily protein 
AT1G76970,Up,2.79E-08, AT1G76970,Target of Myb protein 1 
AT1G19130,Up,2.87E-08, AT1G19130,RmlC-like jelly roll fold protein 
AT3G49810,Up,2.89E-08, AT3G49810,ARM repeat superfamily protein 
AT1G01340,Up,3.20E-08, CNGC10,Cyclic nucleotide gated channel 10 
AT5G52640,Up,3.22E-08, HSP90.1,Heat shock-like protein 
AT5G20885,Down,3.29E-08, AT5G20885,RING/U-box superfamily protein 
AT3G09020,Up,3.32E-08, AT3G09020,"Alpha 1,4-glycosyltransferase family protein "
AT2G36230,Down,3.45E-08, APG10,Aldolase-type TIM barrel family protein 
AT1G10960,Down,3.56E-08, FD1,Ferredoxin 1 
AT1G80120,Up,3.57E-08, AT1G80120,LURP-one-like protein (DUF567) 
AT4G28140,Up,3.74E-08, AT4G28140,Integrase-type DNA-binding superfamily protein 
AT1G70160,Up,3.86E-08, AT1G70160,Zinc finger MYND domain protein 
AT3G04210,Up,4.02E-08, AT3G04210,Disease resistance protein (TIR-NBS class) 
AT2G39030,Up,4.18E-08, NATA1,Acyl-CoA N-acyltransferases (NAT) superfamily protein 
AT1G78860,Up,4.21E-08, AT1G78860,D-mannose binding lectin protein with Apple-like carbohydrate-binding domain-containing protein 
AT3G23122,Up,4.46E-08, ,
AT3G26680,Up,4.49E-08, SNM1,DNA repair metallo-beta-lactamase family protein 
AT4G11360,Up,4.50E-08, RHA1B,RING-H2 finger A1B 
AT3G29400,Up,4.55E-08, EXO70E1,Exocyst subunit exo70 family protein E1 
AT3G21630,Up,4.59E-08, CERK1,Chitin elicitor receptor kinase 1 
AT4G02200,Up,4.79E-08, AT4G02200,Drought-responsive family protein 
AT5G24165,Down,4.87E-08, AT5G24165,Uncharacterized protein 
AT2G16570,Up,5.29E-08, ASE1,GLN phosphoribosyl pyrophosphate amidotransferase 1 
AT5G56510,Up,5.76E-08, PUM12,Pumilio 12 
AT3G26750,Down,6.49E-08, AT3G26750,HECT-like ubiquitin-conjugating enzyme (E2)-binding protein 
AT4G36945,Up,6.50E-08, AT4G36945,PLC-like phosphodiesterases superfamily protein 
AT2G01340,Up,6.51E-08, At17.1,Plastid movement impaired protein 
AT1G15125,Up,6.56E-08, AT1G15125,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G73500,Up,6.65E-08, MKK9,MAP kinase kinase 9 
AT3G22060,Up,7.09E-08, AT3G22060,Receptor-like protein kinase-related family protein 
AT1G04370,Up,7.33E-08, ERF14,Ethylene-responsive element binding factor 14 
AT5G64870,Up,7.67E-08, AT5G64870,SPFH/Band 7/PHB domain-containing membrane-associated protein family 
AT2G47130,Up,7.72E-08, SDR3,NAD(P)-binding Rossmann-fold superfamily protein 
AT4G34380,Up,7.79E-08, AT4G34380,Transducin/WD40 repeat-like superfamily protein 
AT1G48320,Up,8.00E-08, DHNAT1,Thioesterase superfamily protein 
AT5G04170,Up,8.01E-08, AT5G04170,Calcium-binding EF-hand family protein 
AT2G31870,Up,8.06E-08, TEJ,Poly (ADP-ribose) glycohydrolase (PARG) 
AT5G09800,Up,8.37E-08, AT5G09800,ARM repeat superfamily protein 
AT3G04230,Up,8.58E-08, AT3G04230,Ribosomal protein S5 domain 2-like superfamily protein 
AT1G62422,Up,8.97E-08, AT1G62422,Uncharacterized protein 
AT3G25600,Up,9.44E-08, AT3G25600,Calcium-binding EF-hand family protein 
AT1G53970,Up,9.48E-08, AT1G53970,GDSL esterase/lipase-like protein 
AT4G10120,Down,0.000000105, ATSPS4F,Sucrose-phosphate synthase family protein 
AT4G39580,Up,1.08E-07, AT4G39580,Galactose oxidase/kelch repeat superfamily protein 
AT3G51790,Up,1.11E-07, G1,Transmembrane protein G1P-related 1 
AT1G79110,Down,0.000000111, BRG2,Zinc ion binding protein 
AT4G33520,Up,1.12E-07, PAA1,P-type ATP-ase 1 
AT1G70440,Up,1.14E-07, SRO3,Uncharacterized protein 
AT2G43320,Up,1.15E-07, AT2G43320,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT3G50910,Up,1.20E-07, AT3G50910,Netrin receptor DCC 
AT2G44200,Up,1.29E-07, AT2G44200,Pre-mRNA splicing factor domain-containing protein 
AT3G49780,Up,1.32E-07, PSK4,Phytosulfokine 4 
AT5G11070,Down,0.000000134, AT5G11070,Uncharacterized protein 
AT3G58660,Up,1.34E-07, AT3G58660,Ribosomal protein L1p/L10e family 
AT4G25720,Up,1.37E-07, QC,Glutaminyl cyclase 
AT4G05018,Up,1.38E-07, AT4G05018,Uncharacterized protein 
AT5G41610,Up,1.40E-07, CHX18,Cation/H+ exchanger 18 
AT4G36090,Up,1.41E-07, AT4G36090,"Oxidoreductase, 2OG-Fe(II) oxygenase family protein "
AT5G16000,Down,0.000000142, NIK1,NSP-interacting kinase 1 
AT3G46110,Up,1.43E-07, AT3G46110,UPSTREAM OF FLC-like protein (DUF966) 
AT3G23123,Up,1.44E-07, AT3G23123,Uncharacterized protein 
AT5G64660,Up,1.52E-07, CMPG2,"CYS, MET, PRO, and GLY protein 2 "
AT4G04880,Down,0.000000152, AT4G04880,Adenosine/AMP deaminase family protein 
AT2G40180,Up,1.53E-07, PP2C5,Phosphatase 2C5 
AT1G74080,Up,1.56E-07, MYB122,Myb domain protein 122 
AT2G41250,Down,0.000000156, AT2G41250,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein 
AT4G24780,Down,0.000000157, AT4G24780,Pectin lyase-like superfamily protein 
AT4G27070,Up,1.60E-07, TSB2,Tryptophan synthase beta-subunit 2 
AT3G57090,Up,1.61E-07, BIGYIN,Tetratricopeptide repeat (TPR)-like superfamily protein 
AT3G55630,Down,0.000000163, DFD,DHFS-FPGS homolog D 
AT1G18480,Up,1.76E-07, SLP2,Calcineurin-like metallo-phosphoesterase superfamily protein 
AT4G25380,Up,1.77E-07, SAP10,Stress-associated protein 10 
AT2G46080,Up,1.77E-07, BPS2,BPS1-like protein 
AT4G28085,Up,1.79E-07, AT4G28085,Uncharacterized protein 
AT1G71110,Up,1.79E-07, AT1G71110,Uncharacterized protein 
AT4G11000,Up,1.80E-07, AT4G11000,Ankyrin repeat family protein 
AT2G42350,Up,1.83E-07, AT2G42350,RING/U-box superfamily protein 
AT3G58490,Up,1.87E-07, SPP1,Phosphatidic acid phosphatase (PAP2) family protein 
AT1G57700,Up,1.89E-07, AT1G57700,Protein kinase superfamily protein 
AT5G19230,Up,1.89E-07, AT5G19230,Glycoprotein membrane GPI-anchored 
