Geneid	Chr	Start	End	Strand	Length	control_1	control_2	control_3	uvc_1	uvc_2	uvc_3
gene:AT1G12330	1	4194420	4196749	+	2330	27	169	99	0	26	28
gene:AT1G12340	1	4197396	4198310	+	915	0	0	0	0	0	0
gene:AT1G12350	1	4198337	4200849	+	2513	124	59	62	121	53	19
gene:AT1G12360	1	4200864	4206486	+	5623	386	586	367	1596	376	449
gene:AT1G12370	1	4206360	4208999	-	2640	7	33	0	2	62	14
gene:AT1G12380	1	4214258	4217412	-	3155	164	269	104	155	2	0
gene:AT1G12390	1	4220044	4221803	+	1760	60	111	35	61	64	49
gene:AT1G12400	1	4221779	4222875	+	1097	60	67	4	0	5	49
gene:AT1G12410	1	4223030	4225254	+	2225	503	838	186	567	102	236
gene:AT1G12411	1	4225321	4225482	-	162	0	0	0	0	0	0
gene:AT1G12420	1	4226239	4229211	-	2973	329	272	243	1702	314	423
gene:AT1G12430	1	4233717	4238795	-	5079	551	695	247	131	151	182
gene:AT1G12440	1	4241421	4243229	-	1809	445	625	303	1315	370	335
gene:AT1G12450	1	4243904	4245993	+	2090	123	250	116	34	20	26
gene:AT1G12460	1	4247218	4250758	+	3541	49	116	23	39	43	33
gene:AT1G12470	1	4250945	4257392	+	6448	480	685	126	951	220	224
gene:AT1G12480	1	4257268	4259300	-	2033	5	9	0	28	2	2
gene:AT1G12490	1	4260783	4261869	+	1087	9	12	0	23	0	5
gene:AT1G12500	1	4263150	4265156	-	2007	429	552	399	146	110	245
gene:AT1G12520	1	4267074	4268982	-	1909	193	218	107	252	40	16
gene:AT1G12530	1	4268986	4270907	-	1922	111	160	90	136	10	244
gene:AT1G12540	1	4272888	4274206	+	1319	0	0	0	0	0	0
gene:AT1G12550	1	4274531	4276031	+	1501	21	29	46	3	0	0
gene:AT1G12560	1	4276505	4277969	+	1465	1	0	0	1	0	1
gene:AT1G12570	1	4277947	4281131	-	3185	0	0	2	0	0	0
gene:AT1G12580	1	4282794	4285876	+	3083	385	320	199	646	128	174
gene:AT1G12600	1	4286204	4289069	-	2866	8	14	3	158	0	1
gene:AT1G12610	1	4289883	4291017	-	1135	0	1	0	0	0	0
gene:AT1G12615	1	4294055	4294540	-	486	0	0	0	0	0	0
gene:AT1G12620	1	4294552	4297178	-	2627	64	98	14	0	2	16
gene:AT1G12630	1	4298666	4299571	+	906	0	15	0	8	0	0
gene:AT1G12640	1	4303280	4305907	-	2628	234	315	168	492	79	129
gene:AT1G12650	1	4305791	4308007	+	2217	211	164	98	144	152	113
gene:AT1G12660	1	4308943	4309749	+	807	0	0	0	0	0	0
gene:AT1G12663	1	4310969	4311519	+	551	0	0	0	0	0	0
gene:AT1G12665	1	4312331	4312935	+	605	0	0	0	0	0	1
gene:AT1G12672	1	4318309	4319090	+	782	0	0	0	0	0	0
gene:AT1G12680	1	4319877	4323265	-	3389	265	286	148	482	103	207
gene:AT1G12700	1	4323533	4326377	-	2845	93	80	10	18	0	24
gene:AT1G12710	1	4326739	4328616	-	1878	68	38	30	6	4	61
gene:AT1G12730	1	4334499	4337957	+	3459	81	127	42	8	3	10
gene:AT1G12740	1	4342209	4344875	+	2667	0	1	0	6	2	0
gene:AT1G12750	1	4344943	4348390	-	3448	45	123	184	150	63	74
gene:AT1G12760	1	4348498	4350993	+	2496	334	467	228	2154	381	498
gene:AT1G12770	1	4351019	4353797	+	2779	218	373	172	760	122	66
gene:AT1G12775	1	4353842	4355929	+	2088	69	51	0	6	0	0
gene:AT1G12780	1	4355926	4358894	-	2969	1377	1759	870	1275	398	267
gene:AT1G12790	1	4358895	4361371	-	2477	86	21	61	21	34	3
gene:AT1G12800	1	4361551	4365414	-	3864	623	1100	479	951	373	411
gene:AT1G12805	1	4366577	4367136	+	560	0	0	0	0	0	0
gene:AT1G12810	1	4367256	4368822	+	1567	226	263	104	67	157	95
gene:AT1G12820	1	4368760	4371298	-	2539	304	373	96	571	192	452
gene:AT1G12840	1	4374205	4378514	+	4310	887	1409	617	1974	304	820
gene:AT1G12830	1	4374249	4375247	-	999	178	171	187	317	141	174
gene:AT1G12845	1	4378832	4379607	-	776	0	25	5	128	0	21
gene:AT1G12850	1	4379694	4381764	-	2071	151	323	91	266	105	267
gene:AT1G12855	1	4382160	4383673	+	1514	0	0	0	0	0	1
gene:AT1G12860	1	4384304	4386651	+	2348	198	404	116	145	106	88
gene:AT1G12870	1	4387129	4389110	-	1982	0	0	0	1	39	17
gene:AT1G12880	1	4389678	4391344	+	1667	220	251	226	2451	475	641
gene:AT1G12890	1	4391671	4392393	+	723	0	2	0	0	0	0
gene:AT1G12900	1	4392438	4394454	-	2017	2483	4628	1432	4895	915	882
gene:AT1G12910	1	4394897	4396291	-	1395	336	215	11	180	103	63
gene:AT1G12920	1	4396348	4398193	-	1846	371	568	343	879	371	439
gene:AT1G12930	1	4398322	4405669	-	7348	306	397	292	634	167	195
gene:AT1G12940	1	4416315	4418590	+	2276	0	1	0	18	0	1
gene:AT1G12950	1	4419714	4422684	+	2971	0	1	0	0	0	0
gene:AT1G12960	1	4422707	4423155	-	449	0	0	0	0	0	0
gene:AT1G12970	1	4423540	4425936	+	2397	98	118	56	242	21	50
gene:AT1G12980	1	4429718	4430965	+	1248	0	0	0	1	0	0
gene:AT1G12990	1	4433605	4436102	+	2498	91	172	114	591	207	231
gene:AT1G13000	1	4436101	4439639	-	3539	89	184	54	409	121	180
gene:AT1G13020	1	4440404	4443954	-	3551	297	377	141	696	131	283
gene:AT1G13030	1	4444043	4447412	-	3370	130	90	63	135	29	24
gene:AT1G13040	1	4447549	4450001	+	2453	49	59	4	93	7	31
gene:AT1G13050	1	4449713	4451742	+	2030	18	73	46	21	2	62
gene:AT1G13060	1	4452190	4454900	+	2711	513	752	323	1249	370	412
gene:AT1G13080	1	4459002	4460996	+	1995	0	12	0	45	6	0
gene:AT1G13090	1	4461738	4463469	+	1732	150	364	148	239	72	72
gene:AT1G13100	1	4463859	4465725	+	1867	0	23	0	41	0	2
gene:AT1G13110	1	4467094	4469033	+	1940	70	48	23	151	96	213
gene:AT1G13120	1	4469144	4473319	-	4176	288	293	157	234	173	332
gene:AT1G13130	1	4474684	4478005	+	3322	0	10	1	0	0	0
gene:AT1G13140	1	4478384	4480327	-	1944	8	21	0	0	1	8
gene:AT1G13143	1	4479025	4479709	+	685	8	0	0	0	0	8
gene:AT1G13150	1	4481875	4483751	-	1877	0	64	0	1	0	2
gene:AT1G13160	1	4484584	4488577	+	3994	256	312	157	871	203	411
gene:AT1G13170	1	4488533	4492667	-	4135	256	250	185	331	70	130
gene:AT1G13180	1	4494924	4498469	+	3546	40	128	29	547	40	22
gene:AT1G13190	1	4498764	4501624	+	2861	629	453	207	1453	47	277
gene:AT1G13195	1	4501581	4503676	-	2096	94	101	84	232	6	64
gene:AT1G13200	1	4507221	4508528	-	1308	0	0	0	0	17	2
gene:AT1G13210	1	4508906	4514010	-	5105	160	100	90	7634	1809	1805
gene:AT1G13220	1	4515464	4520306	+	4843	221	332	168	740	203	244
gene:AT1G13230	1	4520559	4522644	+	2086	4	0	0	0	0	0
gene:AT1G13245	1	4525414	4526204	-	791	152	230	63	202	30	31
gene:AT1G13250	1	4528485	4530222	-	1738	174	229	113	133	18	40
gene:AT1G13260	1	4542168	4543970	+	1803	35	92	23	579	109	288
gene:AT1G13270	1	4544889	4547373	+	2485	250	403	216	106	97	109
gene:AT1G13280	1	4547388	4548894	+	1507	231	465	119	639	139	69
gene:AT1G13290	1	4550153	4551620	-	1468	0	1	0	0	0	0
gene:AT1G13300	1	4556878	4558793	+	1916	3	0	0	0	3	1
gene:AT1G13310	1	4561028	4563160	-	2133	1	0	0	257	0	2
gene:AT1G13320	1	4563428	4567849	-	4422	334	567	409	532	85	312
gene:AT1G13330	1	4567935	4570598	+	2664	71	21	8	588	202	142
gene:AT1G13340	1	4569448	4571229	-	1782	30	15	7	1263	210	134
gene:AT1G13350	1	4572304	4576711	-	4408	335	286	134	1126	333	266
gene:AT1G13360	1	4576873	4578369	-	1497	480	606	477	574	202	193
gene:AT1G13370	1	4587780	4588661	-	882	1	3	1	10	7	0
gene:AT1G13380	1	4588994	4590501	-	1508	69	254	71	0	68	42
gene:AT1G13390	1	4592304	4594468	-	2165	108	139	41	597	40	186
gene:AT1G13400	1	4597567	4599141	+	1575	1	3	0	0	0	0
gene:AT1G13410	1	4601235	4603635	+	2401	0	52	0	10	0	12
gene:AT1G13420	1	4604688	4606067	+	1380	0	12	12	133	6	0
gene:AT1G13430	1	4606500	4607780	+	1281	0	0	0	0	0	0
gene:AT1G13440	1	4608077	4610878	-	2802	7179	8241	3726	10131	3358	3010
gene:AT1G13450	1	4612731	4615353	-	2623	377	281	318	513	237	201
gene:AT1G13460	1	4615767	4618449	+	2683	26	167	5	348	52	101
gene:AT1G13470	1	4620101	4621585	-	1485	0	4	0	468	177	135
gene:AT1G13480	1	4622550	4624081	-	1532	0	0	0	711	200	124
gene:AT1G13485	1	4624171	4624344	-	174	0	0	0	0	0	0
gene:AT1G13490	1	4624564	4626166	-	1603	0	0	0	385	49	16
gene:AT1G13500	1	4627789	4629169	-	1381	0	0	0	0	0	0
gene:AT1G13510	1	4629203	4630821	-	1619	0	0	0	0	0	0
gene:AT1G13520	1	4631633	4633299	-	1667	0	0	0	431	91	38
gene:AT1G13530	1	4633590	4635129	-	1540	0	0	0	0	1	0
gene:AT1G13540	1	4635463	4636805	-	1343	0	0	0	2	0	0
gene:AT1G13550	1	4636984	4638330	-	1347	0	0	0	33	14	13
gene:AT1G13560	1	4638468	4642190	-	3723	280	381	60	715	66	82
gene:AT1G13570	1	4642124	4644422	-	2299	47	156	43	84	56	53
gene:AT1G13580	1	4644521	4647142	-	2622	45	36	35	25	15	47
gene:AT1G13590	1	4647815	4649066	+	1252	0	0	0	0	0	0
gene:AT1G13600	1	4650606	4651549	-	944	0	19	0	0	0	10
gene:AT1G13605	1	4658538	4659115	+	578	0	0	0	0	0	0
gene:AT1G13607	1	4660778	4661331	+	554	0	0	0	0	0	0
gene:AT1G13608	1	4661682	4662428	+	747	0	0	0	61	0	0
gene:AT1G13609	1	4662698	4663253	+	556	0	5	0	0	0	0
gene:AT1G13610	1	4663831	4666130	-	2300	0	2	1	0	0	0
gene:AT1G13620	1	4668366	4669471	+	1106	0	0	0	0	0	0
gene:AT1G13630	1	4669425	4673073	-	3649	39	49	6	37	0	4
gene:AT1G13635	1	4674152	4676484	+	2333	0	22	0	2	33	14
gene:AT1G13640	1	4677004	4679862	-	2859	499	453	173	49	46	76
gene:AT1G13650	1	4680290	4682382	-	2093	0	11	2	1	0	16
gene:AT1G13670	1	4688018	4689265	+	1248	9	78	0	4	2	0
gene:AT1G13680	1	4690293	4692841	+	2549	0	0	0	0	0	0
gene:AT1G13690	1	4693282	4694410	+	1129	159	205	73	67	47	104
gene:AT1G13700	1	4694372	4696023	-	1652	45	16	12	178	1	0
gene:AT1G13710	1	4702657	4704694	-	2038	0	0	0	2	0	0
gene:AT1G13730	1	4709757	4712672	+	2916	95	221	67	194	30	67
gene:AT1G13740	1	4713433	4715407	+	1975	82	126	66	24	50	137
gene:AT1G13750	1	4715394	4718269	-	2876	5	28	14	8	16	0
gene:AT1G13755	1	4718673	4719354	-	682	0	0	0	0	1	0
gene:AT1G13760	1	4720243	4721342	-	1100	0	0	0	0	0	0
gene:AT1G13770	1	4721574	4724520	+	2947	38	120	87	81	0	28
gene:AT1G13780	1	4724544	4726558	+	2015	76	68	25	110	33	9
gene:AT1G13790	1	4726770	4730425	+	3656	83	129	78	441	8	89
gene:AT1G13800	1	4730395	4733869	-	3475	57	24	0	3	0	10
gene:AT1G13805	1	4730987	4731055	+	69	0	1	0	0	0	0
gene:AT1G13810	1	4733991	4735453	+	1463	1	85	13	42	0	60
gene:AT1G13820	1	4735474	4737910	+	2437	80	163	77	264	0	55
gene:AT1G13825	1	4738441	4739345	-	905	0	0	0	0	0	0
gene:AT1G13830	1	4739693	4741189	-	1497	1	12	1	268	30	14
gene:AT1G13860	1	4743204	4746956	-	3753	299	210	81	35	108	34
gene:AT1G13870	1	4747186	4748666	-	1481	110	152	94	189	75	121
gene:AT1G13880	1	4748831	4751234	+	2404	102	323	156	248	53	172
gene:AT1G13890	1	4751432	4753018	+	1587	0	0	0	0	0	0
gene:AT1G13900	1	4753099	4755656	-	2558	241	197	163	713	197	166
gene:AT1G13910	1	4755777	4758076	+	2300	73	78	1	176	82	34
gene:AT1G13920	1	4758084	4760238	+	2155	135	216	82	117	96	94
gene:AT1G13930	1	4760957	4762666	+	1710	2606	4220	1634	9563	2199	2687
gene:AT1G13940	1	4762479	4766852	-	4374	270	297	172	276	83	67
gene:AT1G13950	1	4773434	4774935	+	1502	30	63	30	0	0	27
gene:AT1G13960	1	4776283	4779420	+	3138	97	195	68	269	50	282
gene:AT1G13970	1	4779351	4782546	-	3196	0	0	19	0	0	2
gene:AT1G13980	1	4788463	4794654	+	6192	593	706	508	591	224	408
gene:AT1G13990	1	4794664	4796599	+	1936	76	59	128	1312	312	355
gene:AT1G14000	1	4797358	4800283	+	2926	500	735	337	4012	644	717
gene:AT1G14010	1	4800169	4801850	-	1682	114	229	49	839	93	88
gene:AT1G14020	1	4802720	4805375	+	2656	33	235	21	181	38	114
gene:AT1G14030	1	4805306	4807517	-	2212	108	153	118	208	50	95
gene:AT1G14040	1	4810115	4814724	+	4610	5	26	12	2013	806	535
gene:AT1G14048	1	4815683	4815988	-	306	0	0	0	0	0	0
gene:AT1G14060	1	4816928	4818112	-	1185	71	190	63	1614	396	348
gene:AT1G14080	1	4822439	4824414	+	1976	1	10	0	0	1	0
gene:AT1G14100	1	4827961	4829587	+	1627	0	2	0	2	0	0
gene:AT1G14110	1	4830297	4831915	+	1619	0	0	0	0	0	0
gene:AT1G14120	1	4833396	4835089	-	1694	1	4	7	14	14	0
gene:AT1G14130	1	4835724	4837771	-	2048	34	73	32	8	7	47
gene:AT1G14140	1	4837927	4839633	-	1707	122	85	62	248	3	0
gene:AT1G14150	1	4839801	4840823	+	1023	210	611	286	564	30	44
gene:AT1G14160	1	4840562	4841848	-	1287	32	109	26	0	0	0
gene:AT1G14170	1	4843184	4845913	-	2730	28	57	47	8	43	133
gene:AT1G14180	1	4847162	4849413	+	2252	96	39	1	274	31	11
gene:AT1G14185	1	4850117	4852096	+	1980	24	50	19	0	0	0
gene:AT1G14190	1	4852522	4854307	+	1786	108	158	5	310	26	49
gene:AT1G14200	1	4854224	4855287	-	1064	15	54	54	305	16	89
gene:AT1G14205	1	4855533	4856762	+	1230	39	66	17	0	0	5
gene:AT1G14210	1	4856778	4857975	-	1198	173	356	165	529	191	97
gene:AT1G14220	1	4858450	4859661	-	1212	0	1	0	0	0	0
gene:AT1G14230	1	4861168	4864094	+	2927	109	144	115	105	98	92
gene:AT1G14240	1	4864881	4868011	+	3131	0	40	22	7	1	0
gene:AT1G14250	1	4868346	4871488	+	3143	0	8	29	194	80	66
gene:AT1G14260	1	4872856	4874907	+	2052	3	14	29	270	76	22
gene:AT1G14270	1	4874875	4877256	-	2382	154	419	181	29	7	194
gene:AT1G14280	1	4877506	4879307	+	1802	31	145	12	107	49	236
gene:AT1G14290	1	4880030	4882265	-	2236	59	137	28	202	23	47
gene:AT1G14300	1	4882336	4884818	-	2483	58	124	78	256	106	44
gene:AT1G14310	1	4884951	4886793	+	1843	59	67	10	407	0	171
gene:AT1G14315	1	4886768	4887933	-	1166	0	9	0	1	1	24
gene:AT1G14320	1	4888114	4889704	+	1591	1248	2001	851	2943	846	1280
gene:AT1G14330	1	4890069	4892332	-	2264	236	242	88	905	389	347
gene:AT1G14340	1	4897346	4899035	+	1690	43	226	77	148	18	24
gene:AT1G14345	1	4899045	4900054	+	1010	370	625	232	377	87	45
gene:AT1G14350	1	4907887	4911168	+	3282	183	234	112	148	0	82
gene:AT1G14360	1	4911093	4913167	-	2075	66	202	122	8	9	6
gene:AT1G14370	1	4915491	4918138	+	2648	0	64	2	1318	335	267
gene:AT1G14380	1	4918010	4921682	-	3673	372	503	215	358	236	65
gene:AT1G14390	1	4924037	4926914	+	2878	0	10	0	84	0	0
gene:AT1G14400	1	4926486	4928812	-	2327	672	833	603	1550	243	188
gene:AT1G14410	1	4928921	4931080	-	2160	79	236	134	96	0	44
gene:AT1G14420	1	4931485	4933662	-	2178	0	0	0	0	1	0
gene:AT1G14430	1	4934120	4936194	+	2075	0	0	1	3	2	0
gene:AT1G14440	1	4938754	4941332	-	2579	117	208	82	185	7	2
gene:AT1G14450	1	4946192	4947670	-	1479	159	186	106	22	114	51
gene:AT1G14453	1	4947121	4947976	+	856	99	164	102	15	92	51
gene:AT1G14455	1	4947819	4948400	-	582	0	0	0	0	0	0
gene:AT1G14460	1	4948638	4953284	-	4647	319	339	186	87	115	101
gene:AT1G14470	1	4954037	4955702	+	1666	41	16	4	44	17	5
gene:AT1G14480	1	4956231	4958076	+	1846	3	47	16	953	472	298
gene:AT1G14490	1	4958445	4959529	-	1085	2	13	0	82	61	16
gene:AT1G14500	1	4960308	4961800	+	1493	0	0	0	0	0	0
gene:AT1G14510	1	4961594	4964515	-	2922	577	256	266	1929	338	511
gene:AT1G14520	1	4968134	4970311	-	2178	16	18	2	0	0	5
gene:AT1G14530	1	4970858	4973726	-	2869	81	68	162	36	14	60
gene:AT1G14540	1	4974021	4975705	-	1685	0	2	0	2481	230	378
gene:AT1G14550	1	4978922	4980466	+	1545	0	0	0	0	0	0
gene:AT1G14560	1	4980624	4983367	+	2744	192	248	49	304	32	61
gene:AT1G14570	1	4983489	4987375	+	3887	163	271	107	450	148	225
gene:AT1G14580	1	4989562	4992805	+	3244	2	29	28	337	0	148
gene:AT1G14590	1	4998767	5000710	-	1944	9	49	17	58	0	112
gene:AT1G14600	1	5000986	5003637	-	2652	13	9	0	0	0	0
gene:AT1G14610	1	5008153	5014533	-	6381	697	1214	502	2288	565	550
gene:AT1G14620	1	5014675	5016708	-	2034	73	184	66	164	81	39
gene:AT1G14630	1	5019800	5021653	+	1854	82	118	41	41	0	27
gene:AT1G14640	1	5023426	5025955	+	2530	104	48	28	1712	382	635
gene:AT1G14642	1	5026364	5026585	+	222	0	30	20	4	0	49
gene:AT1G14650	1	5027316	5031883	+	4568	664	774	382	1958	659	701
gene:AT1G14660	1	5031943	5036610	-	4668	47	94	48	10	15	24
gene:AT1G14670	1	5037576	5040597	+	3022	561	893	473	1063	432	500
gene:AT1G14680	1	5040754	5041967	+	1214	10	10	0	360	19	25
gene:AT1G14685	1	5042240	5045556	+	3317	361	347	281	596	38	136
gene:AT1G14686	1	5045641	5046893	-	1253	0	0	0	319	16	0
gene:AT1G14687	1	5047782	5048753	+	972	14	10	4	17	0	0
gene:AT1G14688	1	5049526	5050983	-	1458	0	0	0	0	0	0
gene:AT1G14690	1	5051656	5055299	-	3644	685	768	617	307	259	188
gene:AT1G14700	1	5058583	5061140	+	2558	312	323	63	145	3	39
gene:AT1G14710	1	5061694	5065303	-	3610	598	830	541	1938	247	233
gene:AT1G14720	1	5066525	5068677	-	2153	730	887	438	556	80	71
gene:AT1G14730	1	5073031	5074798	+	1768	16	11	32	83	20	31
gene:AT1G14740	1	5075179	5077981	-	2803	1098	933	487	1401	428	636
gene:AT1G14750	1	5079226	5082536	-	3311	7	31	37	0	7	10
gene:AT1G14755	1	5083676	5084342	+	667	0	0	0	0	0	0
gene:AT1G14760	1	5084315	5085263	-	949	0	0	0	0	0	0
gene:AT1G14770	1	5086595	5088898	-	2304	12	46	6	1	55	12
gene:AT1G14780	1	5090809	5094152	+	3344	0	0	0	0	0	0
gene:AT1G14790	1	5093961	5098270	-	4310	186	208	161	222	187	93
gene:AT1G14800	1	5099572	5102558	+	2987	0	1	1	1	0	31
gene:AT1G14810	1	5102424	5104850	-	2427	339	633	218	1081	325	369
gene:AT1G14820	1	5104975	5107107	-	2133	50	130	62	115	31	50
gene:AT1G14830	1	5107416	5111746	-	4331	550	851	198	1182	304	689
gene:AT1G14840	1	5111701	5115514	-	3814	178	325	111	195	21	106
gene:AT1G14850	1	5116523	5123559	-	7037	313	418	167	780	209	384
gene:AT1G14860	1	5124670	5126280	+	1611	0	4	0	0	19	0
gene:AT1G14870	1	5128344	5129731	-	1388	5	11	20	4874	1385	920
gene:AT1G14880	1	5132506	5133860	-	1355	5	0	2	16	54	469
gene:AT1G14890	1	5136874	5137982	+	1109	201	486	51	421	288	248
gene:AT1G14900	1	5138116	5139467	-	1352	224	220	119	0	8	35
gene:AT1G14910	1	5139712	5143735	-	4024	247	440	101	150	148	67
gene:AT1G14920	1	5148982	5151415	+	2434	199	301	107	111	52	126
gene:AT1G14930	1	5152263	5153104	-	842	5	0	0	0	0	0
gene:AT1G14940	1	5154537	5155564	-	1028	0	0	0	0	0	0
gene:AT1G14950	1	5157336	5158269	-	934	0	0	0	0	0	0
gene:AT1G14960	1	5159192	5160179	-	988	1	0	0	1	1	0
gene:AT1G14970	1	5161645	5165181	-	3537	134	67	59	6	125	3
gene:AT1G14980	1	5165489	5166939	-	1451	269	811	244	784	171	388
gene:AT1G14990	1	5166913	5168336	-	1424	82	110	41	63	4	5
gene:AT1G15000	1	5168464	5170066	+	1603	231	239	117	8	15	253
gene:AT1G15010	1	5171181	5171956	+	776	14	0	5	198	59	75
gene:AT1G15015	1	5172081	5172923	+	843	0	0	0	0	0	0
gene:AT1G15020	1	5172232	5176479	-	4248	170	136	87	220	25	23
gene:AT1G15030	1	5177480	5180049	+	2570	437	468	187	762	389	477
gene:AT1G15040	1	5179887	5181402	-	1516	28	27	47	131	37	12
gene:AT1G15050	1	5181991	5183413	-	1423	0	0	0	1	0	0
gene:AT1G15060	1	5183258	5187106	-	3849	211	242	111	264	41	41
gene:AT1G15080	1	5187549	5189673	+	2125	46	43	4	0	50	28
gene:AT1G15085	1	5192219	5192854	+	636	13	24	4	39	34	0
gene:AT1G15100	1	5193284	5194214	-	931	32	71	28	79	11	17
gene:AT1G15110	1	5198940	5202315	+	3376	149	61	44	180	4	43
gene:AT1G15120	1	5202593	5204494	+	1902	493	950	338	1791	493	308
gene:AT1G15125	1	5204312	5205964	+	1653	80	21	21	840	633	216
gene:AT1G15130	1	5206002	5209979	-	3978	523	591	323	1875	534	826
gene:AT1G15140	1	5210181	5212349	-	2169	533	583	354	586	213	207
gene:AT1G15150	1	5212475	5215042	+	2568	0	0	0	0	0	0
gene:AT1G15160	1	5215345	5217545	+	2201	24	43	0	100	22	5
gene:AT1G15165	1	5217719	5220113	-	2395	55	148	32	56	39	18
gene:AT1G15170	1	5220403	5222973	+	2571	7	35	7	187	133	87
gene:AT1G15180	1	5224294	5226778	+	2485	45	116	17	17	62	14
gene:AT1G15190	1	5226982	5228202	+	1221	16	3	0	62	72	22
gene:AT1G15200	1	5228300	5231184	-	2885	330	574	489	1341	222	336
gene:AT1G15210	1	5231345	5236886	-	5542	6	8	10	10	12	19
gene:AT1G15215	1	5238044	5240051	+	2008	110	105	22	2	46	3
gene:AT1G15220	1	5240029	5241541	-	1513	21	18	26	16	0	18
gene:AT1G15230	1	5242073	5243262	-	1190	164	115	110	679	222	144
gene:AT1G15240	1	5243383	5248693	+	5311	374	414	147	443	176	142
gene:AT1G15250	1	5248664	5249676	-	1013	28	85	8	367	49	58
gene:AT1G15260	1	5249760	5250573	+	814	161	142	31	65	0	12
gene:AT1G15270	1	5250650	5252121	-	1472	1540	2023	1121	6493	1003	1175
gene:AT1G15280	1	5252285	5256863	+	4579	555	413	289	1428	401	586
gene:AT1G15290	1	5256870	5265155	-	8286	1701	2470	1254	2535	654	617
gene:AT1G15310	1	5268891	5272058	-	3168	18	22	0	125	0	37
gene:AT1G15320	1	5272256	5274074	-	1819	0	2	0	0	0	0
gene:AT1G15330	1	5274271	5275602	+	1332	1	4	2	0	0	0
gene:AT1G15340	1	5275616	5277869	-	2254	963	1024	685	1368	498	876
gene:AT1G15350	1	5278027	5279988	-	1962	55	102	128	111	218	135
gene:AT1G15360	1	5283268	5284736	+	1469	0	0	0	0	0	1
gene:AT1G15370	1	5286866	5288640	+	1775	98	230	47	119	12	70
gene:AT1G15380	1	5290582	5292582	+	2001	2	4	1	70	2	1
gene:AT1G15385	1	5292712	5293338	-	627	0	0	0	203	22	41
gene:AT1G15390	1	5294629	5295931	+	1303	122	265	132	820	185	161
gene:AT1G15400	1	5295756	5297075	-	1320	109	412	95	1376	123	301
gene:AT1G15410	1	5298324	5300927	+	2604	98	86	40	592	269	164
gene:AT1G15415	1	5300742	5301489	-	748	0	24	14	949	439	449
gene:AT1G15420	1	5301516	5303522	-	2007	211	246	267	2371	646	557
gene:AT1G15430	1	5304098	5306087	+	1990	121	107	67	1591	520	194
gene:AT1G15440	1	5306027	5309558	-	3532	247	228	136	1455	525	294
gene:AT1G15460	1	5309907	5314128	-	4222	1	0	0	7	21	0
gene:AT1G15470	1	5315499	5317941	+	2443	78	134	50	6	37	43
gene:AT1G15480	1	5317973	5320630	+	2658	39	39	24	97	54	53
gene:AT1G15490	1	5320615	5323895	-	3281	89	113	19	0	24	1
gene:AT1G15500	1	5326290	5328875	+	2586	865	1041	365	1233	378	479
gene:AT1G15510	1	5329064	5331711	+	2648	131	178	24	85	76	59
gene:AT1G15520	1	5331858	5338326	-	6469	1	79	15	8082	2346	2164
gene:AT1G15530	1	5339961	5341931	-	1971	155	132	96	1478	578	414
gene:AT1G15540	1	5342090	5343876	+	1787	0	0	2	1	0	0
gene:AT1G15550	1	5344388	5346342	-	1955	30	68	43	0	0	0
gene:AT1G15570	1	5361865	5365559	+	3695	97	150	62	1	17	5
gene:AT1G15580	1	5365512	5366497	-	986	10	46	3	0	0	0
gene:AT1G15590	1	5367297	5368670	+	1374	0	0	0	1	0	1
gene:AT1G15600	1	5368923	5370344	+	1422	0	0	0	0	0	0
gene:AT1G15610	1	5370677	5371859	+	1183	0	0	0	0	0	0
gene:AT1G15620	1	5373459	5374575	+	1117	0	0	0	9	0	0
gene:AT1G15625	1	5374755	5375910	+	1156	0	0	0	165	14	6
gene:AT1G15630	1	5376793	5378056	+	1264	1	0	0	0	0	0
gene:AT1G15640	1	5378886	5380239	+	1354	0	0	0	0	0	0
gene:AT1G15660	1	5381032	5385380	+	4349	138	143	35	489	33	28
gene:AT1G15670	1	5389952	5391672	+	1721	95	45	41	40	21	70
gene:AT1G15680	1	5393407	5394639	+	1233	0	0	0	0	0	0
gene:AT1G15690	1	5398926	5402733	+	3808	5716	8343	3739	4628	981	2062
gene:AT1G15700	1	5402569	5403818	-	1250	41	64	6	2	24	47
gene:AT1G15710	1	5404130	5405910	+	1781	130	195	98	345	118	33
gene:AT1G15720	1	5406025	5407486	+	1462	13	44	3	185	0	36
gene:AT1G15730	1	5407401	5410043	-	2643	379	406	114	603	99	84
gene:AT1G15740	1	5410908	5414919	+	4012	886	1471	640	992	164	287
gene:AT1G15750	1	5414817	5421033	-	6217	1002	1408	586	1422	524	870
gene:AT1G15757	1	5424242	5424579	-	338	0	0	0	0	0	0
gene:AT1G15760	1	5425616	5426666	+	1051	3	33	28	0	0	0
gene:AT1G15770	1	5426708	5428280	-	1573	5	1	1	137	0	0
gene:AT1G15772	1	5428520	5429594	-	1075	0	0	0	0	0	0
gene:AT1G15780	1	5430040	5436618	-	6579	461	612	359	3369	949	792
gene:AT1G15790	1	5438171	5440131	-	1961	9	21	0	160	187	61
gene:AT1G15800	1	5441072	5443911	-	2840	49	70	33	598	181	295
gene:AT1G15810	1	5444220	5446564	+	2345	253	399	102	319	111	95
gene:AT1G15820	1	5446462	5447880	-	1419	2605	3862	1737	7960	1675	2926
gene:AT1G15830	1	5448060	5450617	+	2558	24	15	0	4	1	3
gene:AT1G15825	1	5448073	5448608	-	536	9	4	0	1	0	0
